iter	Passed	Remaining
0	1	116
1	2	105
2	3	99
3	3	91
4	4	89
5	5	87
6	6	86
7	7	85
8	8	84
9	9	83
10	10	82
11	11	80
12	11	79
13	12	78
14	13	77
15	14	77
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	30	60
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	40	49
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	64	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
